,n_samples,epsilon,k,mode,execution time,number of machines,coreset size
0,1000,0.001,15,parallel,4.1069605350494385,4,379.0
1,1000,0.001,15,non-parallel,0.12912917137145996,4,
2,1000,0.01,15,parallel,0.8253271579742432,4,414
3,1000,0.01,15,non-parallel,0.14388203620910645,4,
4,1000,0.1,15,parallel,0.7753894329071045,4,379
5,1000,0.1,15,non-parallel,0.19843602180480957,4,
6,5000,0.001,15,parallel,0.8388714790344238,4,722
7,5000,0.001,15,non-parallel,0.26209402084350586,4,
8,5000,0.01,15,parallel,0.8316755294799805,4,803
9,5000,0.01,15,non-parallel,0.2812840938568115,4,
10,5000,0.1,15,parallel,0.8903899192810059,4,740
11,5000,0.1,15,non-parallel,0.2770378589630127,4,
12,10000,0.001,15,parallel,1.2236711978912354,4,838
13,10000,0.001,15,non-parallel,0.6927251815795898,4,
14,10000,0.01,15,parallel,1.176830530166626,4,926
15,10000,0.01,15,non-parallel,0.6490650177001953,4,
16,10000,0.1,15,parallel,1.201946496963501,4,1285
17,10000,0.1,15,non-parallel,0.628718376159668,4,
18,50000,0.001,15,parallel,2.3774335384368896,4,998
19,50000,0.001,15,non-parallel,1.0321238040924072,4,
20,50000,0.01,15,parallel,2.441943645477295,4,1273
21,50000,0.01,15,non-parallel,1.1929078102111816,4,
22,50000,0.1,15,parallel,1.9002728462219238,4,1122
23,50000,0.1,15,non-parallel,1.130873680114746,4,
24,100000,0.001,15,parallel,3.926241397857666,4,1236
25,100000,0.001,15,non-parallel,1.3660938739776611,4,
26,100000,0.01,15,parallel,3.464639663696289,4,1136
27,100000,0.01,15,non-parallel,1.4911315441131592,4,
28,100000,0.1,15,parallel,3.552901268005371,4,1214
29,100000,0.1,15,non-parallel,1.2492930889129639,4,
30,500000,0.001,15,parallel,12.125029563903809,4,857
31,500000,0.001,15,non-parallel,5.446349382400513,4,
32,500000,0.01,15,parallel,13.841119527816772,4,923
33,500000,0.01,15,non-parallel,7.04050350189209,4,
34,500000,0.1,15,parallel,14.977239847183228,4,963
35,500000,0.1,15,non-parallel,5.002785682678223,4,
36,1000000,0.001,15,parallel,23.510737657546997,4,736
37,1000000,0.001,15,non-parallel,9.922623872756958,4,
38,1000000,0.01,15,parallel,25.056092739105225,4,652
39,1000000,0.01,15,non-parallel,13.97374176979065,4,
40,1000000,0.1,15,parallel,28.854922771453857,4,652
41,1000000,0.1,15,non-parallel,12.55927324295044,4,
